timestamp,symbol,entry_price,exit_price,pnl_pct,match_score,exit_reason,duration_candles,atr_on_entry,filters_triggered,filters_triggered_list,final_signal
2025-04-26T02:43:00,ETH/USDT,1813.72,1811.8873928571429,-0.101,4,sl_hit,2,1.5935714285714084,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T02:47:00,ETH/USDT,1814.77,1812.8371785714285,-0.1065,4,sl_hit,2,1.6807142857142676,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T04:19:00,ETH/USDT,1800.38,1799.0254642857144,-0.0752,4,sl_hit,2,1.177857142857111,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T05:30:00,ETH/USDT,1796.6,1795.1986428571429,-0.078,4,sl_hit,1,1.2185714285714084,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T07:17:00,ETH/USDT,1810.55,1808.6492142857142,-0.105,4,sl_hit,1,1.6528571428571825,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T09:14:00,ETH/USDT,1811.85,1809.2247142857143,-0.1449,4,sl_hit,1,2.2828571428570967,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T14:41:00,ETH/USDT,1796.58,1795.1129285714285,-0.0817,4,sl_hit,1,1.2757142857142949,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T19:21:00,ETH/USDT,1805.75,1804.6049285714287,-0.0634,4,sl_hit,2,0.99571428571428966,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-26T22:14:00,ETH/USDT,1825.03,1822.5090357142856,-0.1381,4,sl_hit,2,2.1921428571428612,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-27T05:49:00,ETH/USDT,1798.81,1797.4160357142857,-0.0775,4,sl_hit,2,1.2121428571428428,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
2025-04-27T07:31:00,ETH/USDT,1804.42,1803.5854285714286,-0.0463,4,sl_hit,2,0.72571428571430785,"recent_high_break,range_breakout,strong_candle,macd_cross_up","[recent_high_break,range_breakout,strong_candle,macd_cross_up]",true
