timestamp,open,high,low,close,volume,symbol,exchange,interval
2025-04-05 03:30:00,1809.92,1809.92,1809.12,1809.76,36.6895322,ETH/USDT,KuCoin,1m
2025-04-05 03:31:00,1809.78,1811.11,1809.78,1811.11,16.8849651,ETH/USDT,KuCoin,1m
2025-04-05 03:32:00,1811.12,1812.0,1811.12,1811.56,19.0431109,ETH/USDT,KuCoin,1m
2025-04-05 03:33:00,1811.56,1812.42,1811.56,1812.42,13.4023538,ETH/USDT,KuCoin,1m
2025-04-05 03:34:00,1812.45,1812.63,1811.6,1811.6,13.8237301,ETH/USDT,KuCoin,1m
2025-04-05 03:35:00,1811.59,1811.59,1810.52,1811.22,15.4159231,ETH/USDT,KuCoin,1m
2025-04-05 03:36:00,1811.23,1811.87,1811.23,1811.85,11.0671261,ETH/USDT,KuCoin,1m
2025-04-05 03:37:00,1811.63,1811.65,1810.53,1811.65,6.6129377,ETH/USDT,KuCoin,1m
2025-04-05 03:38:00,1812.03,1812.03,1811.15,1811.15,17.5967606,ETH/USDT,KuCoin,1m
2025-04-05 03:39:00,1810.92,1811.48,1810.92,1811.1,12.4024903,ETH/USDT,KuCoin,1m
2025-04-05 03:40:00,1811.1,1811.37,1811.0,1811.37,4.4192869,ETH/USDT,KuCoin,1m
2025-04-05 03:41:00,1811.57,1811.57,1811.19,1811.19,0.9862808,ETH/USDT,KuCoin,1m
2025-04-05 03:42:00,1811.2,1812.03,1811.2,1812.03,13.8839069,ETH/USDT,KuCoin,1m
2025-04-05 03:43:00,1812.03,1812.03,1811.39,1811.39,4.9876614,ETH/USDT,KuCoin,1m
2025-04-05 03:44:00,1811.24,1812.1,1811.24,1812.1,11.3281257,ETH/USDT,KuCoin,1m
2025-04-05 03:45:00,1812.1,1812.4,1812.1,1812.4,3.8836118,ETH/USDT,KuCoin,1m
2025-04-05 03:46:00,1812.68,1813.08,1812.68,1813.08,4.5843115,ETH/USDT,KuCoin,1m
2025-04-05 03:47:00,1813.09,1813.12,1812.76,1812.99,9.3358858,ETH/USDT,KuCoin,1m
2025-04-05 03:48:00,1812.99,1812.99,1812.69,1812.69,4.3429737,ETH/USDT,KuCoin,1m
2025-04-05 03:49:00,1812.68,1812.73,1812.44,1812.73,3.781086,ETH/USDT,KuCoin,1m
2025-04-05 03:50:00,1812.74,1812.74,1812.49,1812.49,3.2356993,ETH/USDT,KuCoin,1m
2025-04-05 03:51:00,1812.11,1812.11,1811.9,1811.92,0.8492264,ETH/USDT,KuCoin,1m
2025-04-05 03:52:00,1811.93,1811.93,1810.66,1810.66,15.6845853,ETH/USDT,KuCoin,1m
2025-04-05 03:53:00,1810.67,1810.73,1810.67,1810.73,1.7906317,ETH/USDT,KuCoin,1m
2025-04-05 03:54:00,1810.73,1810.73,1810.53,1810.53,2.9166905,ETH/USDT,KuCoin,1m
2025-04-05 03:55:00,1810.53,1810.54,1810.47,1810.47,0.3402639,ETH/USDT,KuCoin,1m
2025-04-05 03:56:00,1809.97,1810.51,1809.97,1810.38,2.4855015,ETH/USDT,KuCoin,1m
2025-04-05 03:57:00,1810.38,1810.38,1809.89,1809.9,5.0963186,ETH/USDT,KuCoin,1m
2025-04-05 03:58:00,1809.9,1810.51,1809.9,1810.51,2.9227734,ETH/USDT,KuCoin,1m
2025-04-05 03:59:00,1810.51,1810.51,1810.0,1810.0,2.1686064,ETH/USDT,KuCoin,1m
2025-04-05 04:00:00,1810.0,1810.06,1810.0,1810.06,2.4366472,ETH/USDT,KuCoin,1m
2025-04-05 04:01:00,1810.06,1811.22,1810.06,1811.12,8.8541355,ETH/USDT,KuCoin,1m
2025-04-05 04:02:00,1811.12,1811.12,1810.73,1810.73,2.1713189,ETH/USDT,KuCoin,1m
2025-04-05 04:03:00,1810.38,1810.54,1810.38,1810.54,5.828448,ETH/USDT,KuCoin,1m
2025-04-05 04:04:00,1810.55,1812.96,1810.55,1812.58,59.2725397,ETH/USDT,KuCoin,1m
2025-04-05 04:05:00,1812.45,1812.89,1812.45,1812.89,24.8509334,ETH/USDT,KuCoin,1m
2025-04-05 04:06:00,1812.88,1813.57,1812.88,1813.56,15.6894983,ETH/USDT,KuCoin,1m
2025-04-05 04:07:00,1813.43,1813.43,1813.0,1813.02,4.9863368,ETH/USDT,KuCoin,1m
2025-04-05 04:08:00,1813.02,1813.02,1812.47,1812.47,7.5498054,ETH/USDT,KuCoin,1m
2025-04-05 04:09:00,1812.48,1813.05,1812.48,1813.05,5.3615417,ETH/USDT,KuCoin,1m
2025-04-05 04:10:00,1813.05,1813.34,1813.05,1813.34,1.5380213,ETH/USDT,KuCoin,1m
2025-04-05 04:11:00,1813.63,1814.63,1813.63,1814.29,11.4799763,ETH/USDT,KuCoin,1m
2025-04-05 04:12:00,1814.3,1814.33,1814.03,1814.03,14.6460993,ETH/USDT,KuCoin,1m
2025-04-05 04:13:00,1814.0,1814.01,1813.99,1813.99,1.5493039,ETH/USDT,KuCoin,1m
2025-04-05 04:14:00,1814.0,1814.41,1814.0,1814.35,8.8396846,ETH/USDT,KuCoin,1m
2025-04-05 04:15:00,1814.34,1814.53,1814.0,1814.0,14.0699018,ETH/USDT,KuCoin,1m
2025-04-05 04:16:00,1813.87,1813.89,1813.24,1813.26,2.2191204,ETH/USDT,KuCoin,1m
2025-04-05 04:17:00,1813.81,1814.6,1813.68,1813.83,5.5366052,ETH/USDT,KuCoin,1m
2025-04-05 04:18:00,1813.82,1813.82,1813.56,1813.56,3.6134317,ETH/USDT,KuCoin,1m
2025-04-05 04:19:00,1813.27,1813.74,1813.27,1813.74,7.1054625,ETH/USDT,KuCoin,1m
2025-04-05 04:20:00,1813.75,1813.75,1813.38,1813.38,1.246874,ETH/USDT,KuCoin,1m
2025-04-05 04:21:00,1813.29,1814.55,1813.29,1814.18,7.3373525,ETH/USDT,KuCoin,1m
2025-04-05 04:22:00,1813.51,1813.51,1812.96,1812.96,4.5255714,ETH/USDT,KuCoin,1m
2025-04-05 04:23:00,1812.96,1813.79,1812.87,1812.87,14.1001218,ETH/USDT,KuCoin,1m
2025-04-05 04:24:00,1812.87,1812.9,1812.57,1812.57,8.8595638,ETH/USDT,KuCoin,1m
2025-04-05 04:25:00,1812.58,1813.68,1812.58,1813.68,69.7567973,ETH/USDT,KuCoin,1m
2025-04-05 04:26:00,1813.67,1813.76,1813.67,1813.76,5.2155373,ETH/USDT,KuCoin,1m
